deviceid,date,total_steps,avg_speed,end_battery,gps_accuracy,start_lat,start_lon,end_lat,end_lon,n_points,total_dist_m,unique_zones,tod_morning,tod_afternoon,tod_evening,tod_night,dow,is_weekend,month,dow_0,dow_1,dow_2,dow_3,dow_4,dow_5,dow_6,poi_office,poi_residential,poi_industrial,poi_mall,anomaly_error,is_anomaly
DPB_Arifullah_cd28cfb6,2026-01-01,1737,0.30224710957295403,61,2.478013189448441,25.0173917,54.9913259,25.0172183,54.9913083,834,1878.9639294316664,2,0.0,0.0,0.0539568345323741,0.9460431654676259,3,0,1,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,1.5056534,True
DPB_Arifullah_cd28cfb6,2026-01-02,13463,3.4682802821519596,43,12.83443333794822,25.01721283457878,54.99132089564488,25.017257501719925,54.99133475547893,7223,180306.99980861848,106,0.24546587290599473,0.25141907794545204,0.17665789838017446,0.3264571507683788,4,1,1,False,False,False,False,True,False,False,0.0,0.0,0.0,0.0,1.2861116,False
DPB_Arifullah_cd28cfb6,2026-01-03,9266,4.146966887196713,19,8.783060820785355,25.017265,54.9913333,25.01727527947244,54.99132952577781,6774,184289.35724009507,109,0.262621789193977,0.24136403897254208,0.16991437850605257,0.3260997933274284,5,1,1,False,False,False,False,False,True,False,0.0,0.0,0.0,0.0,1.1695005,False
DPB_Arifullah_cd28cfb6,2026-01-04,6785,4.504955407642381,68,16.611932888204077,25.0172817,54.9913183,25.01725369498609,54.991290673634026,5841,195322.5681498966,108,0.3115904810820065,0.2689607943845232,0.11590481082006505,0.3035439137134052,6,1,1,False,False,False,False,False,False,True,0.0,0.0,0.0,0.0,1.4407071,False
DPB_Arifullah_cd28cfb6,2026-01-05,1416,0.6625548905575027,98,14.70839356234785,25.017250429153208,54.99128895565656,25.26480388548294,55.41316945528239,3697,109224.82358234358,21,0.3348661076548553,0.21747362726535027,0.18853124154720044,0.259129023532594,0,0,1,True,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.57403654,False
DPB_Arifullah_cd28cfb6,2026-01-06,174,0.098340565283186,97,13.845877097729517,25.26480281084397,55.41317130378391,25.26466529797659,55.41304307426579,2026,921.5389193991404,1,0.49358341559723595,0.16732477788746297,0.0,0.3390918065153011,1,0,1,False,True,False,False,False,False,False,0.14285714285714285,0.8571428571428571,0.0,0.0,1.2818216,False
hwbd62_mostafa_cd28cfb6,2025-12-20,0,0.2309031940744103,100,16.748858470335954,25.060410800583856,55.21417938255235,25.06039551950155,55.21415599303136,1399,808.0498554974915,1,0.0,0.16225875625446748,0.48177269478198714,0.3559685489635454,5,1,12,False,False,False,False,False,True,False,0.0,1.0,0.0,0.0,1.0139278,False
hwbd62_mostafa_cd28cfb6,2025-12-21,0,0.16966360786526635,41,17.69786812358704,25.06039462744417,55.21415431517772,25.06038589673221,55.21416406128764,3981,1491.0219271737567,1,0.2913840743531776,0.20849032906304948,0.1662898769153479,0.333835719668425,6,1,12,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,0.74575263,False
hwbd62_mostafa_cd28cfb6,2025-12-22,27978,2.903591797431088,12,15.563281235154394,25.06038480620891,55.21416314216765,25.06086163346659,55.2169157,4210,84054.3137031914,69,0.1992874109263658,0.25724465558194776,0.26817102137767224,0.27529691211401425,0,0,12,True,False,False,False,False,False,False,0.0,1.0,0.0,0.0,0.9011464,False
hwbd62_mostafa_cd28cfb6,2025-12-23,10802,0.7445546590808818,91,16.17295002871913,25.060863981054283,55.21691707217923,25.060429942325797,55.214268570234935,1741,42969.86543296715,6,0.026421596783457783,0.3084434233199311,0.005743825387708214,0.659391154508903,1,0,12,False,True,False,False,False,False,False,0.0,1.0,0.0,0.0,0.8823617,False
hwbd62_mostafa_cd28cfb6,2025-12-24,643,3.4050943007415535,34,14.566950672645739,25.060431713565645,55.21426969008576,25.060417189254224,55.21427213029505,3122,53985.706789202544,36,0.43273542600896864,0.2527226137091608,0.02017937219730942,0.2943625880845612,2,0,12,False,False,True,False,False,False,False,0.0,1.0,0.0,0.0,0.92810315,False
hwbd62_mostafa_cd28cfb6,2025-12-25,986,2.5329033438490156,9,15.234755968169761,25.060421372395968,55.21427507133448,25.06039752622732,55.21429162901952,3393,100014.7442306051,46,0.33480695549661066,0.03536693191865606,0.20748600058944885,0.42234011199528443,3,0,12,False,False,False,True,False,False,False,0.0,1.0,0.0,0.0,0.73091453,False
hwbd62_mostafa_cd28cfb6,2025-12-26,586,2.3132128768648905,95,20.790505643340857,25.060403827080773,55.21428740681345,25.11808213753843,55.39061028041101,2215,28579.51507392584,25,0.5584650112866817,0.0,0.0,0.4415349887133183,4,1,12,False,False,False,False,True,False,False,0.0,1.0,0.0,0.0,1.0091361,False
